# Cross section for Ar-Ar+ collision (Phelps, 1994)
300,1.74483077766051e-18
400,1.65130362916848e-18
500,1.58519842299542e-18
600,1.53566593359741e-18
700,1.49680703021451e-18
800,1.46523337909559e-18
900,1.43887360461009e-18
1000,1.41639074228146e-18
1100,1.39688179362905e-18
1200,1.37971337366257e-18
1300,1.36442690059748e-18
1400,1.35068131691259e-18
1500,1.33821707626463e-18
1600,1.32683270521039e-18
1700,1.31636908330376e-18
1800,1.30669861836927e-18
1900,1.29771761733424e-18
2000,1.28934079718911e-18
2100,1.2814972623129e-18
2200,1.27412750727712e-18
2300,1.26718115013739e-18
2400,1.26061519482955e-18
2500,1.25439268265941e-18
2600,1.24848163391156e-18
2700,1.24285420853861e-18
2800,1.23748603422636e-18
2900,1.23235566371485e-18
3000,1.22744413293463e-18
3100,1.22273459850427e-18
3200,1.21821203823877e-18
3300,1.213863002089e-18
3400,1.20967540374654e-18
3500,1.20563834526978e-18
3600,1.20174196870047e-18
3700,1.19797732987843e-18
3800,1.19433629061901e-18
3900,1.1908114261645e-18
4000,1.18739594540609e-18
4100,1.18408362183582e-18
4200,1.1808687335561e-18
4300,1.17774601096875e-18
4400,1.1747105910026e-18
4500,1.17175797693034e-18
4600,1.16888400298144e-18
4700,1.16608480308546e-18
4800,1.16335678318459e-18
4900,1.16069659664092e-18
5000,1.15810112233546e-18
5100,1.15556744511541e-18
5200,1.15309283829599e-18
5300,1.1506747479651e-18
5400,1.14831077887365e-18
5500,1.14599868172473e-18
5600,1.14373634169938e-18
5700,1.14152176807843e-18
5800,1.13935308483782e-18
5900,1.13722852211073e-18
6000,1.13514640842286e-18
6100,1.13310516361895e-18
6200,1.13110329240843e-18
6300,1.12913937846671e-18
6400,1.12721207903609e-18
6500,1.12532011997648e-18
6600,1.1234622912223e-18
6700,1.12163744260604e-18
6800,1.11984448001417e-18
6900,1.11808236184396e-18
7000,1.11635009573384e-18
7100,1.11464673554234e-18
7200,1.11297137855346e-18
7300,1.11132316288844e-18
7400,1.10970126510618e-18
7500,1.10810489797594e-18
7600,1.10653330840791e-18
7700,1.10498577552844e-18
7800,1.10346160888797e-18
7900,1.10196014679106e-18
8000,1.10048075473849e-18
8100,1.09902282397282e-18
8200,1.09758577011908e-18
8300,1.09616903191347e-18
8400,1.09477207001321e-18
8500,1.09339436588152e-18
8600,1.09203542074205e-18
8700,1.09069475459781e-18
8800,1.08937190530972e-18
8900,1.08806642773068e-18
9000,1.08677789289106e-18
9100,1.08550588723217e-18
9200,1.0842500118842e-18
9300,1.08300988198575e-18
9400,1.081785126042e-18
9500,1.08057538531899e-18
9600,1.07938031327162e-18
9700,1.07819957500308e-18
9800,1.07703284675375e-18
9900,1.07587981541768e-18
10000,1.0747401780848e-18
10100,1.07361364160729e-18
10200,1.07249992218868e-18
10300,1.07139874499415e-18
10400,1.07030984378078e-18
10500,1.0692329605466e-18
10600,1.06816784519721e-18
10700,1.06711425522904e-18
10800,1.06607195542815e-18
10900,1.06504071758376e-18
11000,1.06402032021564e-18
11100,1.06301054831452e-18
11200,1.06201119309485e-18
11300,1.06102205175914e-18
11400,1.06004292727333e-18
11500,1.05907362815249e-18
11600,1.05811396825637e-18
11700,1.05716376659413e-18
11800,1.05622284713801e-18
11900,1.05529103864513e-18
12000,1.05436817448727e-18
12100,1.05345409248808e-18
12200,1.0525486347674e-18
12300,1.05165164759217e-18
12400,1.05076298123386e-18
12500,1.04988248983184e-18
12600,1.04901003126252e-18
12700,1.04814546701395e-18
12800,1.04728866206561e-18
12900,1.04643948477309e-18
13000,1.04559780675753e-18
13100,1.04476350279946e-18
13200,1.04393645073693e-18
13300,1.04311653136768e-18
13400,1.04230362835516e-18
13500,1.04149762813825e-18
13600,1.04069841984443e-18
13700,1.03990589520642e-18
13800,1.03911994848185e-18
13900,1.0383404763761e-18
14000,1.03756737796801e-18
14100,1.03680055463838e-18
14200,1.03603991000107e-18
14300,1.03528534983677e-18
14400,1.03453678202905e-18
14500,1.03379411650282e-18
14600,1.03305726516502e-18
14700,1.03232614184738e-18
14800,1.03160066225128e-18
14900,1.03088074389449e-18
15000,1.03016630605987e-18
15100,1.02945726974579e-18
15200,1.02875355761825e-18
15300,1.02805509396478e-18
15400,1.02736180464973e-18
15500,1.02667361707121e-18
15600,1.02599046011948e-18
15700,1.02531226413662e-18
15800,1.0246389608777e-18
15900,1.02397048347312e-18
16000,1.02330676639222e-18
16100,1.0226477454081e-18
16200,1.02199335756358e-18
16300,1.02134354113819e-18
16400,1.02069823561633e-18
16500,1.02005738165638e-18
16600,1.01942092106075e-18
16700,1.01878879674696e-18
16800,1.01816095271957e-18
16900,1.01753733404298e-18
17000,1.0169178868151e-18
17100,1.01630255814182e-18
17200,1.01569129611222e-18
17300,1.01508404977458e-18
17400,1.01448076911313e-18
17500,1.0138814050254e-18
17600,1.01328590930037e-18
17700,1.01269423459719e-18
17800,1.01210633442451e-18
17900,1.0115221631205e-18
18000,1.0109416758334e-18
18100,1.01036482850259e-18
18200,1.0097915778403e-18
18300,1.00922188131377e-18
18400,1.00865569712797e-18
18500,1.00809298420876e-18
18600,1.00753370218654e-18
18700,1.00697781138041e-18
18800,1.00642527278268e-18
18900,1.00587604804388e-18
19000,1.00533009945817e-18
19100,1.00478738994912e-18
19200,1.00424788305591e-18
19300,1.0037115429199e-18
19400,1.00317833427153e-18
19500,1.00264822241763e-18
19600,1.00212117322901e-18
19700,1.00159715312842e-18
19800,1.00107612907882e-18
19900,1.00055806857191e-18
20000,1.00004293961708e-18
