# 
NaN,0,1e-05,0.000177827941003892,0.00316227766016838,0.0562341325190349,1,3,10
300,1.12009449411265e-283,1.12010448282883e-283,1.12027213265614e-283,1.12325696729186e-283,1.17747401735324e-283,2.62471225600371e-283,4.53870456774255e-282,9.07398678982443e-276
400,1.33691794183612e-217,1.336930031366e-217,1.33713294128064e-217,1.34074560737025e-217,1.40638646973561e-217,3.16562244558007e-217,5.5058192658461e-216,1.25915575615577e-209
500,5.58542306510474e-178,5.58547401558506e-178,5.58632916581691e-178,5.60155468065872e-178,5.87825401078278e-178,1.33302136283067e-177,2.4885314754558e-176,6.2980964508831e-170
600,1.40172282973134e-151,1.40173569846252e-151,1.40195168668112e-151,1.40579727805667e-151,1.47569484585059e-151,3.36511849383666e-151,6.65704701131992e-150,1.80615624240273e-143
700,9.82795242305592e-133,9.82804309781834e-133,9.82956497955176e-133,9.856661686019e-133,1.03492235072278e-132,2.36979506878118e-132,4.87019731653717e-131,1.38643592165025e-124
800,1.31594355485175e-118,1.31595574173822e-118,1.31616028602213e-118,1.3198021589771e-118,1.38600885214896e-118,3.18314692163125e-118,6.67534027481767e-117,1.96513837169635e-110
900,1.26190819230358e-107,1.26191991063225e-107,1.26211659069339e-107,1.26561845397318e-107,1.32928354669549e-107,3.05956670831484e-107,6.51670132254261e-106,1.9689145006774e-99
1000,7.62317264163679e-99,7.62324357362382e-99,7.62443409404138e-99,7.64563121123287e-99,8.0310196216173e-99,1.85152946372874e-98,3.9930083255893e-97,1.23170696084906e-90
1100,1.15683344575326e-91,1.15684422633373e-91,1.15702516730566e-91,1.16024681278585e-91,1.21882221027857e-91,2.81351523602367e-91,6.12162984142919e-90,1.91993721255462e-83
1200,1.10872933988132e-85,1.10873968534734e-85,1.10891332338578e-85,1.112004945556e-85,1.16821792297711e-85,2.69940031891991e-85,5.90260324890435e-84,1.87584804268838e-77
1300,1.27038860623734e-80,1.27040047390595e-80,1.27059966056942e-80,1.27414618035936e-80,1.33863181810417e-80,3.0957224609283e-80,6.77503557379507e-79,2.17539618601729e-72
1400,2.74514821364665e-76,2.74517388582439e-76,2.74560476706443e-76,2.75327661888932e-76,2.89277509262006e-76,6.69438218205902e-76,1.46105518528284e-74,4.72860005847179e-68
1500,1.56267157272621e-72,1.56268620121222e-72,1.56293172539805e-72,1.56730329434518e-72,1.64679360323247e-72,3.81333187551513e-72,8.29968620978865e-71,2.70432508461354e-64
1600,3.01085742698541e-69,3.01088563808634e-69,3.01135913260323e-69,3.01978973082103e-69,3.17308967808964e-69,7.3518152613756e-69,1.59626928421388e-67,5.23195675206055e-61
1700,2.37822356677228e-66,2.37824586860163e-66,2.37862018204642e-66,2.38528486057862e-66,2.50647542833536e-66,5.81028058896751e-66,1.25880231812914e-64,4.14729066666677e-58
