# Inelastic cross sections integrals 
# Data source: Rapp D and Englander-Golden P 1965 J. Chem. Phys. 43 1464 
# Format: 
#   first row: lambda (ratio of electron kinetic energy to thermal energy 
#   first col: electron temperature (K) 
#   data: cross section integral (m^2) for R0 
# see also Le and Cambiert (2016), https://doi.org/10.1063/1.4953050 
NaN,0,0.01,0.0115139539932645,0.0132571136559011,0.0152641796717523,0.0175751062485479,0.0202358964772516,0.0232995181051537,0.0268269579527973,0.0308884359647748,0.0355648030622313,0.0409491506238043,0.0471486636345739,0.0542867543932386,0.0625055192527397,0.0719685673001152,0.0828642772854684,0.0954095476349994,0.109854114198756,0.12648552168553,0.145634847750124,0.167683293681101,0.193069772888325,0.222299648252619,0.255954792269954,0.294705170255181,0.339322177189533,0.390693993705462,0.449843266896945,0.517947467923121,0.596362331659464,0.6866488450043,0.79060432109077,0.910298177991522,1.04811313415469,1.20679264063933,1.38949549437314,1.59985871960606,1.84206996932672,2.12095088792019,2.44205309454865,2.81176869797423,3.23745754281764,3.72759372031494,4.29193426012878,4.94171336132383,5.6898660290183,6.55128556859551,7.54312006335461,8.68511373751353,10
300,1.46390990299834e-282,1.00710145472457e-281,1.27682814333952e-281,1.65973730069385e-281,2.21659449885545e-281,3.04804515369604e-281,4.32567305463586e-281,6.35122963251534e-281,9.67341404092201e-281,1.53264953454486e-280,2.53369272170638e-280,4.38440089190405e-280,7.96904923982755e-280,1.52701222809182e-279,3.09692928987432e-279,6.67586742052002e-279,1.53651818636815e-278,3.79426961670383e-278,1.01050284642358e-277,2.91868307596352e-277,9.19755596475003e-277,3.18256971965926e-276,1.21755616114201e-275,5.18809428918028e-275,2.48181402634949e-274,1.34418024027131e-273,8.31811742344582e-273,5.93898031502854e-272,4.94386744903009e-271,4.85255021686117e-270,5.6840439057894e-269,8.04908640515745e-268,1.39722014560352e-266,3.01772149419584e-265,8.24002228693234e-264,2.89372838234096e-262,1.33123879602246e-260,8.18266684302795e-259,6.86392009816286e-257,8.03817418904078e-255,1.3466062822252e-252,3.31272658141028e-250,1.23079605807385e-247,7.1174890827511e-245,6.61680636435831e-242,1.02380591901463e-238,2.73654268895052e-235,1.3150785307145e-231,1.18599739490298e-227,2.10173135399203e-223,7.68903363973178e-219
600,1.74742318259708e-150,5.07769913116992e-150,5.84652281218552e-150,6.84376493159722e-150,8.15694996132175e-150,9.9152824415202e-150,1.23134297113126e-149,1.56511787932168e-149,2.04011683723867e-149,2.73275747224236e-149,3.76998599307628e-149,5.36891699933632e-149,7.91268769776971e-149,1.21005685133005e-148,1.92559043198605e-148,3.19826732387167e-148,5.56244467898275e-148,1.01653529646762e-147,1.95928097658802e-147,3.99865843468204e-147,8.67808504716832e-147,2.01189975549032e-146,5.00708023532216e-146,1.34472727508326e-145,3.91917923789194e-145,1.24704868110962e-144,4.36018150000093e-144,1.68681521452063e-143,7.27443957964243e-143,3.52502722730527e-142,1.93584195100989e-141,1.2159218885071e-140,8.82152848306138e-140,7.47084774056133e-139,7.46970834738834e-138,8.92532081661087e-137,1.29120259244633e-135,2.29346820548305e-134,5.07738482409853e-133,1.42375116624104e-131,5.14498066629993e-130,2.44088275116165e-128,1.55085313131033e-126,1.34813857597308e-124,1.6405783772644e-122,2.86447702107203e-120,7.36799671933466e-118,2.87222943572757e-115,1.74930832163823e-112,1.71977478612327e-109,2.8265412334928e-106
900,1.56032232419379e-106,3.27894978094867e-106,3.6295059637915e-106,4.06847822376473e-106,4.62431522230762e-106,5.33691772102165e-106,6.26319921146227e-106,7.48581430974816e-106,9.1271353252063e-106,1.13721134412911e-105,1.45065302625989e-105,1.89825700118756e-105,2.5534173045099e-105,3.53856571065393e-105,5.06403508431689e-105,7.5027867272934e-105,1.15390559579268e-104,1.84749794756704e-104,3.0888244023819e-104,5.41028062727554e-104,9.96287988686704e-104,1.93605169952189e-103,3.98620703718746e-103,8.7333681168157e-103,2.04542966363015e-102,5.14652167341405e-102,1.39852312898263e-101,4.12779625990665e-101,1.33138653640884e-100,4.723496079934e-100,1.85625847424365e-99,8.14126452416003e-99,4.01720689969722e-98,2.24952440183939e-97,1.44284708407213e-96,1.07062093251402e-95,9.28913318747442e-95,9.53269293865261e-94,1.17137933347847e-92,1.74643368475144e-91,3.20427312845186e-90,7.34565140618369e-89,2.13864319751434e-87,8.04741833777608e-86,3.98791181905857e-84,2.65561149612929e-82,2.42837681031511e-80,3.12099950413712e-78,5.78007475719255e-76,1.58441655978558e-73,6.61596649232647e-71
1200,1.35996114515075e-84,2.40781108808795e-84,2.60765574435672e-84,2.85320717508261e-84,3.15760040816213e-84,3.53869935050353e-84,4.02116071787256e-84,4.63955751500695e-84,5.44318963733477e-84,6.50363258194118e-84,7.92682096391662e-84,9.87280622206952e-84,1.25888028562646e-83,1.64658146116963e-83,2.2138207478434e-83,3.0663708800699e-83,4.38585579542897e-83,6.49416067446537e-83,9.98148362763262e-83,1.59703258050624e-82,2.66813360333797e-82,4.66978774034474e-82,8.59216404199844e-82,1.66821142363449e-81,3.43151134442382e-81,7.51056442374142e-81,1.75716749863206e-80,4.41622941194878e-80,1.19863499363198e-79,3.53333029516758e-79,1.13811740971236e-78,4.03209537449612e-78,1.58218326115647e-77,6.92831580057686e-77,3.41305887577577e-76,1.90792231943472e-75,1.22154131356233e-74,9.04712144964636e-74,7.83444021749609e-73,8.02381708467008e-72,9.839537237983e-71,1.4639492677776e-69,2.68036106214592e-68,6.13178901916831e-67,1.78157742802558e-65,6.69060515574543e-64,3.30941154602618e-62,2.20012078433745e-60,2.0090387038956e-58,2.57935597984108e-56,4.77423575184336e-54
1500,1.89719289534608e-71,3.02041118022215e-71,3.22577867124972e-71,3.47513895322916e-71,3.78015319343293e-71,4.1563482632435e-71,4.62467623130237e-71,5.21381562080063e-71,5.96362176262121e-71,6.93038840438398e-71,8.19501740283262e-71,9.87594988939744e-71,1.21500576355712e-70,1.52871405771204e-70,1.97082366047456e-70,2.60866671866894e-70,3.55278663752976e-70,4.9898664560355e-70,7.24488936351073e-70,1.09023733653819e-69,1.70512299719602e-69,2.77981808778407e-69,4.73883996201834e-69,8.47592534081528e-69,1.59635308138972e-68,3.17816028341257e-68,6.71622681327767e-68,1.51322636772917e-67,3.65238046413891e-67,9.49194032781942e-67,2.67063220841065e-66,8.18273255160365e-66,2.74749959812676e-65,1.01779481991486e-64,4.18993946410751e-64,1.93175006325958e-63,1.00578877197263e-62,5.96701100503314e-62,4.07255464725501e-61,3.23078695004352e-60,3.01217789378194e-59,3.33992137621469e-58,4.46074037296526e-57,7.27498867135035e-56,1.4702479894875e-54,3.74051916570092e-53,1.21846814720986e-51,5.17538105102536e-50,2.92287606119509e-48,2.2415468481165e-46,2.38764580961802e-44
1800,1.0698321302335e-62,1.58433483131061e-62,1.67572116352692e-62,1.78578462026126e-62,1.91918189269669e-62,2.08201660141081e-62,2.28238794027568e-62,2.53118516665024e-62,2.84325520331584e-62,3.23914567539274e-62,3.74775069662193e-62,4.41039881633129e-62,5.2872896823116e-62,6.46783505074731e-62,8.08763321379519e-62,1.03569782271311e-61,1.36099292853724e-61,1.8391006834215e-61,2.56127138012343e-61,3.68504373442905e-61,5.49125213187271e-61,8.49807416370084e-61,1.36977384263585e-60,2.30675744702785e-60,4.0721036368807e-60,7.56205256765985e-60,1.48290596829977e-59,3.08323763707274e-59,6.8267279089247e-59,1.61718271247884e-58,4.11928104994413e-58,1.13431011898292e-57,3.39618667935771e-57,1.11245841350071e-56,4.0131652796957e-56,1.60579447395215e-55,7.18136425835772e-55,3.61905519826307e-54,2.07335101473793e-53,1.36313389626245e-52,1.03894517103204e-51,9.28025714604364e-51,9.82911830536546e-50,1.24998790738651e-48,1.934584275005e-47,3.69700047242271e-46,8.86033522159211e-45,2.70803713336183e-43,1.07466840295501e-41,5.64562795957009e-40,4.00876402816445e-38
2100,1.87299940867891e-56,2.63202760548217e-56,2.76403334594647e-56,2.92207850467947e-56,3.11234958825618e-56,3.3428565936263e-56,3.62409014536894e-56,3.9699591125596e-56,4.39914709639196e-56,4.93710397508417e-56,5.61901581445394e-56,6.49430789318148e-56,7.63359393518319e-56,9.13960411996635e-56,1.11647180885307e-55,1.39397033950621e-55,1.78219088874751e-55,2.3378078384391e-55,3.15304113780892e-55,4.38214522089254e-55,6.29090148003435e-55,9.35208891492765e-55,1.44360480481514e-54,2.32052423207986e-54,3.89639079351879e-54,6.85664015946509e-54,1.26901636628667e-53,2.4795524109507e-53,5.13558355585354e-53,1.13240824829458e-52,2.67076037454706e-52,6.77100999328553e-52,1.85516965673744e-51,5.52483622014242e-51,1.79943606934635e-50,6.45216857775455e-50,2.56512438668473e-49,1.13933584864895e-48,5.70014579281223e-48,3.24058041379481e-47,2.11327216783465e-46,1.59690786602492e-45,1.41357271445707e-44,1.48300834730341e-43,1.86727365558025e-42,2.86003440921879e-41,5.40672220888144e-40,1.28136579645548e-38,3.87151204346654e-37,1.51847504952183e-35,7.88339764751878e-34
2400,8.9011071134471e-52,1.20206186941889e-51,1.2554512315891e-51,1.31908464945038e-51,1.39530257911155e-51,1.48710553984498e-51,1.59838197331427e-51,1.73422946106002e-51,1.90141355023829e-51,2.10903233238378e-51,2.36949336719401e-51,2.69997245786044e-51,3.12462858775005e-51,3.678027230024e-51,4.41053230746184e-51,5.39697192781594e-51,6.75086845158924e-51,8.64834855495467e-51,1.13693154945437e-50,1.53702287560331e-50,2.14164115684978e-50,3.0829895173971e-50,4.59688332419637e-50,7.11872834506958e-50,1.14828786853304e-49,1.9353412410515e-49,3.41952562055732e-49,6.35653472303903e-49,1.24788776392369e-48,2.59778709063835e-48,5.7597561705851e-48,1.36651283493365e-47,3.48671449155196e-47,9.61954995074501e-47,2.88630472155788e-46,9.47710564218767e-46,3.42807326507678e-45,1.37585514342755e-44,6.17418865468341e-44,3.12359258336737e-43,1.79739792182763e-42,1.18763585167496e-41,9.10360463323657e-41,8.18480562488079e-40,8.73374294477429e-39,1.12023366643222e-37,1.75093729084407e-36,3.3843645485122e-35,8.21885032021878e-34,2.55088504436553e-32,1.03067253727183e-30
2700,3.82671194393409e-48,5.00914859727359e-48,5.2089824670533e-48,5.44631653873834e-48,5.72944527313141e-48,6.06891586751128e-48,6.47827757502688e-48,6.97512742637943e-48,7.58258809428934e-48,8.33142446144044e-48,9.26311794064459e-48,1.0434399175456e-47,1.19240378966184e-47,1.38431871552994e-47,1.63514284868413e-47,1.96821412647958e-47,2.41834424262153e-47,3.03857082608414e-47,3.9115558807197e-47,5.16931172636601e-47,7.0282570558197e-47,9.85331159971955e-47,1.42786992077248e-46,2.14431623246307e-46,3.34641899273718e-46,5.44305282896353e-46,9.25643209274556e-46,1.65138141877846e-45,3.10185247770702e-45,6.15805628973463e-45,1.29751970518908e-44,2.91447689431377e-44,7.01215781740206e-44,1.81637469444716e-43,5.0933311821523e-43,1.55523218437735e-42,5.20387655918311e-42,1.92105849101535e-41,7.88128100141858e-41,3.6215172169891e-40,1.8796153671776e-39,1.11186290497212e-38,7.56919662479449e-38,5.99230252299471e-37,5.5789732911102e-36,6.18262250709029e-35,8.26211739885532e-34,1.35016833096707e-32,2.73914123904062e-31,7.01199532141486e-30,2.30521092275861e-28
3000,3.06325192035591e-45,3.91032257637664e-45,4.05202987626838e-45,4.21984876083425e-45,4.41939902417148e-45,4.65777774397066e-45,4.94403490692506e-45,5.28983147074682e-45,5.7103609468012e-45,6.22565664322364e-45,6.86247120413834e-45,7.65701798485823e-45,8.65903070300676e-45,9.93787322872046e-45,1.15918942840289e-44,1.37630150441884e-44,1.66599250219743e-44,2.05957415059438e-44,2.60505237759844e-44,3.37775352907253e-44,4.49885018787416e-44,6.16854554111091e-44,8.72726130041449e-44,1.27720120905688e-43,1.93852089887777e-43,3.06007949923588e-43,5.03907947315887e-43,8.68404499183453e-43,1.57159104874343e-42,2.99780870363194e-42,6.05103664624365e-42,1.29794126254582e-41,2.97201117956572e-41,7.30011805722488e-41,1.93357703768617e-40,5.55366193856299e-40,1.74019095863554e-39,5.98714534517736e-39,2.27751772889023e-38,9.65073438685183e-38,4.59192314339637e-37,2.47459454428571e-36,1.52443711613432e-35,1.08426593852846e-34,8.99987911600043e-34,8.81905916273844e-33,1.0329749697248e-31,1.4657439945174e-30,2.5562716235033e-29,5.56573974919592e-28,1.53869795522115e-26
3300,7.22709316180471e-43,9.03689875467284e-43,9.33713595613293e-43,9.6918589725316e-43,1.01125234445666e-42,1.06135113620113e-42,1.12130463136942e-42,1.19344503382501e-42,1.28078902378451e-42,1.38728341325262e-42,1.51815524861182e-42,1.68041770322148e-42,1.88361185866842e-42,2.1409113956489e-42,2.47079514557012e-42,2.89962432252989e-42,3.46568884834145e-42,4.22568829410625e-42,5.2653357350701e-42,6.71710620637615e-42,8.79067353891445e-42,1.18264781658455e-41,1.63926561305181e-41,2.34657111688826e-41,3.4778150569192e-41,5.35105326730118e-41,8.57203131156108e-41,1.43409589810385e-40,2.51393821371248e-40,4.63389520350003e-40,9.01561944300009e-40,1.85893062386858e-39,4.07977974525163e-39,9.57504826837028e-39,2.41517460460678e-38,6.58250631090747e-38,1.94972249654015e-37,6.31512222556424e-37,2.25167866534334e-36,8.90123578261386e-36,3.93141896607819e-35,1.95609657466048e-34,1.10619378349206e-33,7.17833250089754e-33,5.40053596371467e-32,4.76305826683228e-31,4.98380933184348e-30,6.26707637493385e-29,9.60393653120757e-28,1.82081491375268e-26,4.341329120606e-25
3600,6.82585750980299e-41,8.38881167030964e-41,8.64628278300413e-41,8.94987823155375e-41,9.30910140792921e-41,9.73582253927654e-41,1.02449999165652e-40,1.0855663783719e-40,1.159227392579e-40,1.24866154755041e-40,1.35804799740055e-40,1.49295079035842e-40,1.66087742761305e-40,1.87210306716819e-40,2.14090624793792e-40,2.48745327857307e-40,2.94072412927606e-40,3.54314368871599e-40,4.35806425747826e-40,5.48212210279334e-40,7.06612536112572e-40,9.3512559402829e-40,1.2733509295153e-39,1.7881717957532e-39,2.59604181489113e-39,3.90646829303727e-39,6.10987729610466e-39,9.96195488692503e-39,1.69862959806798e-38,3.03927569772503e-38,5.72715584152209e-38,1.14103483285278e-37,2.41360156981536e-37,5.44485991782207e-37,1.3162919806489e-36,3.427721383704e-36,9.66841705131718e-36,2.97159174199504e-35,1.00158251912404e-34,3.72765735720743e-34,1.5432962097884e-33,7.16443252747844e-33,3.76141567448873e-32,2.25403329893151e-31,1.55711317439407e-30,1.25336758103016e-29,1.18918594081265e-28,1.3466391781319e-27,1.84477864296016e-26,3.10230560868934e-25,6.50705388366543e-24
3900,3.18997606586897e-39,3.86321953396749e-39,3.97346516110097e-39,4.10324237740146e-39,4.25650486383996e-39,4.43816890932272e-39,4.65439990040651e-39,4.91300085081027e-39,5.2239451982964e-39,5.6001160079313e-39,6.05834421375289e-39,6.62088589386066e-39,7.3175532455982e-39,8.18883352116702e-39,9.290524933952e-39,1.07007412988336e-38,1.25306820775461e-38,1.49415027172851e-38,1.81712695250497e-38,2.25789474362754e-38,2.8717821948821e-38,3.74610399638695e-38,5.0221865710837e-38,6.93508979212689e-38,9.88738418098614e-38,1.45905714721509e-37,2.23454821356413e-37,3.56187237611751e-37,5.92746788892196e-37,1.03320576595914e-36,1.89302702178087e-36,3.65943513117937e-36,7.49396008347885e-36,1.63278483106505e-35,3.80263290428053e-35,9.51357214420565e-35,2.57058845118125e-34,7.54483801447839e-34,2.42036558870142e-33,8.54304068785278e-33,3.34155848959906e-32,1.45959078208034e-31,7.17884133814769e-31,4.01136017183484e-30,2.57108975353976e-29,1.91000274720303e-28,1.66304790947339e-27,1.71786386852944e-26,2.13297088351122e-25,3.22912772468608e-24,6.05398670228543e-23
