# 
NaN,0,0.01,0.1,0.3,1,3,10
300,9.08096768800561e-284,9.1981886834282e-284,1.03133957422271e-283,1.32190440235015e-283,3.00399139820682e-283,1.03895382174785e-281,5.94315923962776e-275
400,1.09173059922517e-217,1.10579233080522e-217,1.23964525607558e-217,1.58893694351878e-217,3.61842004160015e-217,1.25472003954608e-215,8.22939992588821e-209
500,4.56141486123998e-178,4.62028853832541e-178,5.18093333297487e-178,6.64569969734704e-178,1.51972026972083e-177,5.6781559972189e-176,4.11102156846542e-169
600,1.13671707744118e-151,1.15149041959491e-151,1.29222736347246e-151,1.66031943558464e-151,3.818338960361e-151,1.52073536835687e-149,1.17797021443321e-142
700,7.89336712899902e-133,7.996835088443e-133,8.98284072420897e-133,1.15641142793316e-132,2.67477756905965e-132,1.11310565030546e-130,9.03696417584322e-124
800,1.04838300032461e-118,1.06222319873224e-118,1.19414848983576e-118,1.53976523454499e-118,3.57741250161499e-118,1.52553071503544e-116,1.28033839195613e-109
900,1.00124060200985e-107,1.0145084371549e-107,1.14099944657073e-107,1.47253769598088e-107,3.43025740982192e-107,1.48921283075404e-105,1.28236146058127e-98
1000,6.04090660043766e-99,6.12107250354353e-99,6.88542925981118e-99,8.88945690170561e-99,2.07359134464093e-98,9.12494776683886e-97,8.01997397035865e-90
1100,9.16836008950771e-92,9.29006241296106e-92,1.04505388673658e-91,1.34937607708722e-91,3.14963859019787e-91,1.39887170124989e-89,1.24984531783074e-82
1200,8.78758716150619e-86,8.90426632421154e-86,1.00169111395572e-85,1.29351938281407e-85,3.02078346657561e-85,1.34860379721972e-83,1.22091885450701e-76
1300,1.00588127691285e-80,1.01925103896732e-80,1.14675234681224e-80,1.48122591839465e-80,3.46173440705712e-80,1.54742970861027e-78,1.41566292109088e-71
1400,2.16948275322528e-76,2.19836771455353e-76,2.47384915054956e-76,3.19665035608915e-76,7.4779803074346e-76,3.33548745700766e-74,3.07677812390355e-67
1500,1.23198547523617e-72,1.2484227371283e-72,1.40519906338023e-72,1.81662182106468e-72,4.2544304996408e-72,1.89391284132216e-70,1.75943157295382e-63
1600,2.36754674391765e-69,2.39920455664448e-69,2.70117299018041e-69,3.49376253595871e-69,8.19174820877782e-69,3.64108060550349e-67,3.40356331555718e-60
