3000,3.50439837949465e-35,2.11702352485663e-36
3100,1.9553617530033e-34,1.57567936992155e-36
3200,9.46304933479179e-34,1.15192184681306e-36
3300,4.03670748051672e-33,8.3119282478309e-37
3400,1.5413668190028e-32,5.95220050143077e-37
3500,5.34232558369318e-32,4.25195580656774e-37
3600,1.70126997168178e-31,3.04304005191217e-37
3700,5.0291988455805e-31,2.18909538968675e-37
3800,1.39198515779715e-30,1.58661718062459e-37
3900,3.63313809917926e-30,1.1603632926368e-37
4000,8.99559671362474e-30,8.57087610243542e-38
4100,2.12352605858248e-29,6.39681732638382e-38
4200,4.79972748782296e-29,4.82469053390929e-38
4300,1.04255216794809e-28,3.67710803825563e-38
4400,2.18314339608617e-28,2.83124182464336e-38
4500,4.41957473105557e-28,2.20162821399024e-38
4600,8.67087081786747e-28,1.72841033985001e-38
4700,1.65227550091888e-27,1.36934438654271e-38
4800,3.064042860394e-27,1.09436897595131e-38
4900,5.53950699739773e-27,8.8190669955753e-39
5000,9.77935987017436e-27,7.16333608446908e-39
5100,1.68829848176069e-26,5.86237309530875e-39
5200,2.85409947380291e-26,4.83209523554532e-39
5300,4.73045871855038e-26,4.01002794440259e-39
5400,7.69559070079295e-26,3.34936890635979e-39
5500,1.2300908986144e-25,2.81477619446424e-39
5600,1.93377818382461e-25,2.37935577100407e-39
5700,2.99252021197086e-25,2.02248966797691e-39
5800,4.56233723381018e-25,1.72825797957436e-39
5900,6.85789931777827e-25,1.48428351972393e-39
6000,1.01708870372508e-24,1.28087961520365e-39
6100,1.48929307726174e-24,1.11041693452716e-39
6200,2.15439619210258e-24,9.66849743728749e-40
6300,3.08068954803686e-24,8.4535903090265e-40
6400,4.35696476693726e-24,7.42081897142621e-40
6500,6.09755727840826e-24,6.53905054321806e-40
6600,8.44834787026924e-24,5.78306273917356e-40
6700,1.159384487198e-23,5.13231929771349e-40
6800,1.57654757198769e-23,4.57001876236162e-40
6900,2.12512216492972e-23,4.08235151304888e-40
7000,2.84067331486945e-23,3.65791635908788e-40
7100,3.76680664924694e-23,3.28726006696551e-40
7200,4.95661830615965e-23,2.96251211167125e-40
7300,6.47433532060171e-23,2.67709356929547e-40
7400,8.39716050652389e-23,2.42548402566013e-40
7500,1.08173356031894e-22,2.2030341030279e-40
7600,1.38444360428015e-22,2.00581402461348e-40
7700,1.76079101497884e-22,1.83049077777622e-40
7800,2.22598749056677e-22,1.67422807206353e-40
7900,2.7978179614119e-22,1.53460454334001e-40
8000,3.49697478873645e-22,1.40954662306658e-40
8100,4.34742073571784e-22,1.29727324156689e-40
